file,target,trans_src_count
src/anonymous_input_name.cpp,//src:anonymous_input_name,1
src/audio/audio_utils.cpp,//src/audio:audio_utils,2
src/audio/speech_to_text/s2t_calculator.cc,//src/audio/speech_to_text:s2t_calculator,10
src/audio/speech_to_text/s2t_calculator.pb.cc,//src/audio/speech_to_text:s2t_calculator_cc_proto,1
src/audio/speech_to_text/s2t_calculator_options_lib.cc,//src/audio/speech_to_text:s2t_calculator_options_registry,2
src/audio/speech_to_text/stt_node_initializer.cpp,//src/audio/speech_to_text:s2t_calculator,10
src/audio/text_to_speech/t2s_calculator.cc,//src/audio/text_to_speech:t2s_calculator,11
src/audio/text_to_speech/t2s_calculator.pb.cc,//src/audio/text_to_speech:t2s_calculator_cc_proto,1
src/audio/text_to_speech/t2s_calculator_options_lib.cc,//src/audio/text_to_speech:t2s_calculator_options_registry,2
src/audio/text_to_speech/t2s_servable.cpp,//src/audio/text_to_speech:t2s_servable,6
src/audio/text_to_speech/tts_node_initializer.cpp,//src/audio/text_to_speech:t2s_calculator,11
src/capi_frontend/buffer.cpp,//src:libovmscapibuffer,2
src/capi_frontend/capi.cpp,//src:ovms_lib,234
src/capi_frontend/capi_backend_impls.cpp,//src:capi_backend_impl,52
src/capi_frontend/capi_dag_utils.cpp,//src:capi_dag_utils,18
src/capi_frontend/capi_request_utils.cpp,//src:capi_request_utils,17
src/capi_frontend/capi_utils.cpp,//src:libovmscapi_utils,17
src/capi_frontend/capi_validation.cpp,//src:capi_validation,23
src/capi_frontend/capimodule.cpp,//src:capimodule,5
src/capi_frontend/deserialization.cpp,//src:capi_deserialization,24
src/capi_frontend/inferenceparameter.cpp,//src:capiinferenceparameter,12
src/capi_frontend/inferencerequest.cpp,//src:inferencerequest,15
src/capi_frontend/inferenceresponse.cpp,//src:inferenceresponse,15
src/capi_frontend/inferencetensor.cpp,//src:inferencetensor,6
src/capi_frontend/servablemetadata.cpp,//src:libovms_capi_servable_metadata,8
src/capi_frontend/server_settings.cpp,//src:libovms_server_settings,2
src/capi_frontend/tensor_conversion.cpp,//src:capi_backend_impl,52
src/cleaner_utils.cpp,//src:cleaner_utils,16
src/cli_parser.cpp,//src:libovms_cliparser,15
src/color_format_configuration.cpp,//src:libovmscolor_format_configuration,3
src/config.cpp,//src:libovms_config,26
src/config_export_module/config_export.cpp,//src/config_export_module:config_export,9
src/custom_nodes/add_one/add_one.cpp,//src:libcustom_node_add_one.so,3
src/custom_nodes/common/buffersqueue.cpp,//src:custom_nodes_common_buffersqueue,1
src/custom_nodes/common/custom_node_library_internal_manager.cpp,//src:libcustom_node_add_one.so,3
src/custom_nodes/common/custom_node_library_internal_manager.cpp,//src:libcustom_node_model_zoo_intel_object_detection.so,3
src/custom_nodes/east_ocr/east_ocr.cpp,//src:libcustom_node_east_ocr.so,1
src/custom_nodes/face_blur/face_blur.cpp,//src:libcustom_node_face_blur.so,1
src/custom_nodes/horizontal_ocr/horizontal_ocr.cpp,//src:libcustom_node_horizontal_ocr.so,1
src/custom_nodes/image_transformation/image_transformation.cpp,//src:libcustom_node_image_transformation.so,1
src/custom_nodes/model_zoo_intel_object_detection/model_zoo_intel_object_detection.cpp,//src:libcustom_node_model_zoo_intel_object_detection.so,3
src/customloaders.cpp,//src:customloaders,6
src/dags/custom_node.cpp,//src/dags:custom_node,23
src/dags/custom_node_library_manager.cpp,//src/dags:custom_node_library_manager,7
src/dags/custom_node_output_allocator.cpp,//src/dags:custom_node_output_allocator,3
src/dags/customnodesession.cpp,//src/dags:customnodesession,22
src/dags/dag_capi.cpp,//src/dags:dag_capi,69
src/dags/dag_kfs.cpp,//src/dags:dag_kfs,68
src/dags/dag_tfs.cpp,//src/dags:dag_tfs,68
src/dags/dl_node.cpp,//src/dags:dl_node,41
src/dags/dlnodesession.cpp,//src/dags:dlnodesession,39
src/dags/gathernodeinputhandler.cpp,//src/dags:gathernodeinputhandler,15
src/dags/node.cpp,//src/dags:node,18
src/dags/node_library.cpp,//src/dags:node_library,1
src/dags/node_library_utils.cpp,//src/dags:node_library_utils,14
src/dags/nodeinputhandler.cpp,//src/dags:nodeinputhandler,3
src/dags/nodesession.cpp,//src/dags:nodesession,16
src/dags/nodesessionmetadata.cpp,//src/dags:nodesessionmetadata,2
src/dags/nodestreamidguard.cpp,//src/dags:nodestreamidguard,18
src/dags/pipeline.cpp,//src/dags:pipeline,19
src/dags/pipeline_config_parser.cpp,//src/dags:pipeline_config_parser,62
src/dags/pipeline_factory.cpp,//src/dags:pipeline_factory,52
src/dags/pipelinedefinition.cpp,//src/dags:pipelinedefinition,51
src/dags/pipelinedefinitionstatus.cpp,//src/dags:pipelinedefinitionstatus,3
src/deserialization_common.cpp,//src:deserialization_common,16
src/drogon_http_async_writer_impl.cpp,//src:libdrogon_http_server,28
src/drogon_http_server.cpp,//src:libdrogon_http_server,28
src/embeddings/embeddings_api.cpp,//src/embeddings:embeddings_api,3
src/embeddings/embeddings_calculator.pb.cc,//src/embeddings:embeddings_calculator_cc_proto,1
src/embeddings/embeddings_calculator_options_lib.cc,//src/embeddings:embeddings_calculator_options_registry,2
src/embeddings/embeddings_calculator_ov.cc,//src/embeddings:embeddingscalculator_ov,27
src/embeddings/embeddings_calculator_ov.pb.cc,//src/embeddings:embeddings_calculator_ov_cc_proto,1
src/embeddings/embeddings_calculator_ov_options_lib.cc,//src/embeddings:embeddings_calculator_ov_options_registry,2
src/embeddings/embeddings_node_initializer.cpp,//src/embeddings:embeddingscalculator_ov,27
src/embeddings/embeddings_servable.cpp,//src/embeddings:embeddings_servable,11
src/executingstreamidguard.cpp,//src:executingstreamidguard,15
src/filesystem/azurefilesystem.cpp,//src/filesystem:libovmsazurefilesystem,7
src/filesystem/azurestorage.cpp,//src/filesystem:libovmsazurefilesystem,7
src/filesystem/filesystem.cpp,//src/filesystem:libovmsfilesystem,5
src/filesystem/filesystemfactory.cpp,//src/filesystem:libovmsfilesystemfactory,11
src/filesystem/gcsfilesystem.cpp,//src/filesystem:libovmsgcsfilesystem,6
src/filesystem/localfilesystem.cpp,//src/filesystem:libovmslocalfilesystem,6
src/filesystem/s3filesystem.cpp,//src/filesystem:libovmss3filesystem,6
src/get_model_metadata_impl.cpp,//src:ovms_lib,234
src/global_sequences_viewer.cpp,//src:global_sequences_viewer,15
src/graph_export/embeddings_graph_cli_parser.cpp,//src/graph_export:embeddings_graph_cli_parser,6
src/graph_export/graph_cli_parser.cpp,//src/graph_export:graph_cli_parser,5
src/graph_export/graph_export.cpp,//src/graph_export:graph_export,10
src/graph_export/image_generation_graph_cli_parser.cpp,//src/graph_export:image_generation_graph_cli_parser,6
src/graph_export/rerank_graph_cli_parser.cpp,//src/graph_export:rerank_graph_cli_parser,6
src/graph_export/s2t_graph_cli_parser.cpp,//src/graph_export:s2t_graph_cli_parser,6
src/graph_export/t2s_graph_cli_parser.cpp,//src/graph_export:t2s_graph_cli_parser,6
src/grpc_utils.cpp,//src:grpc_utils,3
src/grpcservermodule.cpp,//src:ovms_lib,234
src/http_frontend/http_graph_executor_impl.cpp,//src:libovms_mediapipe_http_executor,40
src/http_frontend/multi_part_parser_drogon_impl.cpp,//src:libmultipart_parser_drogon_impl,1
src/http_rest_api_handler.cpp,//src:ovms_lib,234
src/http_server.cpp,//src:ovms_lib,234
src/httpservermodule.cpp,//src:ovms_lib,234
src/image_conversion.cpp,//src:image_conversion,9
src/image_gen/http_image_gen_calculator.cc,//src/image_gen:image_gen_calculator,18
src/image_gen/image_gen_calculator.pb.cc,//src/image_gen:image_gen_calculator_cc_proto,1
src/image_gen/image_gen_calculator_options_lib.cc,//src/image_gen:image_gen_calculator_options_registry,2
src/image_gen/image_gen_node_initializer.cpp,//src/image_gen:image_gen_calculator,18
src/image_gen/imagegen_init.cpp,//src/image_gen:imagegen_init,14
src/image_gen/imagegenutils.cpp,//src/image_gen:imagegenutils,10
src/image_gen/pipelines.cpp,//src/image_gen:pipelines,3
src/json_parser.cpp,//src:libmodelconfigjsonparser,4
src/kfs_frontend/deserialization.cpp,//src:kfs_deserialization,21
src/kfs_frontend/kfs_backend_impl.cpp,//src:kfs_backend_impl,50
src/kfs_frontend/kfs_graph_executor_impl.cpp,//src:libovms_mediapipe_kfs_executor,47
src/kfs_frontend/kfs_grpc_inference_service.cpp,//src:ovms_lib,234
src/kfs_frontend/kfs_request_utils.cpp,//src:kfs_request_utils,18
src/kfs_frontend/kfs_utils.cpp,//src:libovms_kfs_utils,17
src/kfs_frontend/serialization.cpp,//src:kfs_serialization,20
src/kfs_frontend/tensor_conversion.cpp,//src:kfs_backend_impl,50
src/kfs_frontend/validation.cpp,//src:kfs_validation,18
src/kfserving_api/grpc_predict_v2.grpc.pb.cc,//src/kfserving_api:kfserving_api_cpp,2
src/kfserving_api/grpc_predict_v2.pb.cc,//src/kfserving_api:kfserving_api_cpp,2
src/layout.cpp,//src:libovmslayout,5
src/layout_configuration.cpp,//src:libovmslayout_configuration,6
src/llm/apis/openai_api_handler.cpp,//src/llm:openai_api_handler,26
src/llm/apis/openai_completions.cpp,//src/llm:openai_completions_api_handler,27
src/llm/apis/openai_responses.cpp,//src/llm:openai_responses_handler,27
src/llm/http_llm_calculator.cc,//src/llm:llmcalculator,54
src/llm/io_processing/base_generation_config_builder.cpp,//src/llm:generation_config_builders,6
src/llm/io_processing/base_output_parser.cpp,//src/llm:io_processing_base_output_parser,2
src/llm/io_processing/devstral/generation_config_builder.cpp,//src/llm:generation_config_builders,6
src/llm/io_processing/devstral/tool_parser.cpp,//src/llm:output_parsers,18
src/llm/io_processing/gptoss/harmony.cpp,//src/llm:output_parsers,18
src/llm/io_processing/gptoss/reasoning_parser.cpp,//src/llm:output_parsers,18
src/llm/io_processing/gptoss/tool_parser.cpp,//src/llm:output_parsers,18
src/llm/io_processing/hermes3/generation_config_builder.cpp,//src/llm:generation_config_builders,6
src/llm/io_processing/hermes3/tool_parser.cpp,//src/llm:output_parsers,18
src/llm/io_processing/llama3/generation_config_builder.cpp,//src/llm:generation_config_builders,6
src/llm/io_processing/llama3/tool_parser.cpp,//src/llm:output_parsers,18
src/llm/io_processing/mistral/tool_parser.cpp,//src/llm:output_parsers,18
src/llm/io_processing/output_parser.cpp,//src/llm:output_parsers,18
src/llm/io_processing/partial_json_builder.cpp,//src/llm:partial_json_builder,1
src/llm/io_processing/phi4/generation_config_builder.cpp,//src/llm:generation_config_builders,6
src/llm/io_processing/phi4/tool_parser.cpp,//src/llm:output_parsers,18
src/llm/io_processing/qwen3/reasoning_parser.cpp,//src/llm:output_parsers,18
src/llm/io_processing/qwen3coder/qwen3coder_tool_parser.cpp,//src/llm:io_processing_qwen3coder_tool_parser,6
src/llm/io_processing/utils.cpp,//src/llm:io_processing_utils,1
src/llm/language_model/continuous_batching/servable.cpp,//src/llm:genai_servables,49
src/llm/language_model/continuous_batching/servable_initializer.cpp,//src/llm:genai_servables,49
src/llm/language_model/legacy/legacy_executor.cpp,//src/llm:genai_servables,49
src/llm/language_model/legacy/servable.cpp,//src/llm:genai_servables,49
src/llm/language_model/legacy/servable_initializer.cpp,//src/llm:genai_servables,49
src/llm/llm_calculator.pb.cc,//src/llm:llmcalculator_cc_proto,1
src/llm/llm_node_initializer.cpp,//src/llm:llmcalculator,54
src/llm/llmcalculator_options_lib.cc,//src/llm:llmcalculator_options_registry,2
src/llm/py_jinja_template_processor.cpp,//src/llm:py_jinja_template_processor,2
src/llm/servable.cpp,//src/llm:genai_servables,49
src/llm/servable_initializer.cpp,//src/llm:genai_servables,49
src/llm/visual_language_model/continuous_batching/servable.cpp,//src/llm:genai_servables,49
src/llm/visual_language_model/legacy/legacy_executor.cpp,//src/llm:genai_servables,49
src/llm/visual_language_model/legacy/servable.cpp,//src/llm:genai_servables,49
src/llm/visual_language_model/legacy/servable_initializer.cpp,//src/llm:genai_servables,49
src/logging.cpp,//src:libovmslogging,1
src/main.cpp,//src:ovms,243
src/main_benchmark.cpp,//src:capi_benchmark,235
src/main_capi.cpp,//src:capi_cpp_example,235
src/main_windows.cpp,//src:ovms,243
src/mediapipe_calculators/ovmscalculator.pb.cc,//src:ovmscalculatoroptions_cc_proto,1
src/mediapipe_internal/mediapipe_utils.cpp,//src/mediapipe_internal:mediapipe_utils,4
src/mediapipe_internal/mediapipefactory.cpp,//src/mediapipe_internal:libovms_mediapipe,39
src/mediapipe_internal/mediapipegraphconfig.cpp,//src/mediapipe_internal:libovms_mediapipe,39
src/mediapipe_internal/mediapipegraphdefinition.cpp,//src/mediapipe_internal:libovms_mediapipe,39
src/mediapipe_internal/mediapipegraphexecutor.cpp,//src/mediapipe_internal:libovms_mediapipe,39
src/mediapipe_internal/node_initializer.cpp,//src/mediapipe_internal:node_initializer,3
src/metrics/metric.cpp,//src/metrics:libovmsmetrics,12
src/metrics/metric_config.cpp,//src/metrics:libovmsmetrics,12
src/metrics/metric_family.cpp,//src/metrics:libovmsmetrics,12
src/metrics/metric_module.cpp,//src/metrics:libovmsmetrics,12
src/metrics/metric_registry.cpp,//src/metrics:libovmsmetrics,12
src/model.cpp,//src:model,56
src/model_metric_reporter.cpp,//src:model_metric_reporter,13
src/model_service.cpp,//src:ovms_lib,234
src/model_version_policy.cpp,//src:libovmsmodelversioning,1
src/modelchangesubscription.cpp,//src:modelchangesubscription,2
src/modelconfig.cpp,//src:modelconfig,15
src/modelextensions.cpp,//src:modelextensions,1
src/modelinstance.cpp,//src:modelinstance,50
src/modelinstanceunloadguard.cpp,//src:modelinstanceunloadguard,31
src/modelmanager.cpp,//src:modelmanager,102
src/modelversionstatus.cpp,//src:libovmsmodelversionstatus,2
src/module_names.cpp,//src:cpp_headers,3
src/net_http_async_writer_impl.cpp,//src:libnet_http_server,3
src/network_utils.cpp,//src:network_utils,2
src/ocl_utils.cpp,//src:libovmsoclutils,2
src/opencltensorfactory.cpp,//src:libovmstensorfactory,5
src/outputkeeper.cpp,//src:libovms_outputkeeper,8
src/ov_utils.cpp,//src:libovms_ov_utils,12
src/ovinferrequestsqueue.cpp,//src:libovms_ovinferrequestsqueue,2
src/ovmscalculatoroptions_options_lib.cc,//src:ovmscalculatoroptions_options_registry,2
src/precision.cpp,//src:libovmsprecision,1
src/precision_configuration.cpp,//src:libovmsprecision_configuration,3
src/predict_request_validation_utils_impl.cpp,//src:predict_request_validation_utils_impl,9
src/prediction_service.cpp,//src:ovms_lib,234
